"","date","SPY","AAPL","MSFT","GOOG","GS","AMZN","WMT","JPM","BAC","JNJ","BA","TLT","HYG","LQD"
"1",2010-05-28,-0.0827888266713318,-0.0162558924745707,-0.164160445354007,-0.0792836565149338,-0.00399680103986285,-0.0887236556340148,-0.0533517070083432,-0.0730609591446384,-0.124677044120075,-0.0888651037080723,-0.115142367941092,0.0498218755639284,-0.0478827935129071,-0.0131688000724344
"2",2010-06-30,-0.0531276614393396,-0.0210465202107275,-0.114445797624691,-0.0874850691368657,-0.0943605377309199,-0.138256593425397,-0.0505020252802817,-0.0780022728134607,-0.0904145349892687,0.012951874102201,-0.0225330592743232,0.0563593905519676,0.0110497215054109,0.0322586639415969
"3",2010-07-30,0.0660691807125515,0.0224861223285488,0.114833082391329,0.0858776567053176,0.138830310373135,0.0760215965490202,0.0628857370954348,0.0969000904090318,-0.0232324972458949,-0.0165605137808499,0.082405939390784,-0.00950853804921082,0.0502490618154606,0.020888094650095
"4",2010-08-31,-0.0460233367246875,-0.0565756591751669,-0.0897182762211835,-0.0745475722743666,-0.0941095594945264,0.0572008498631966,-0.0149153695207139,-0.102385638356962,-0.119386589724042,-0.00920487424310971,-0.102503777811908,0.0805740677320179,-0.00994507339783322,0.0281535491072821
"5",2010-09-30,0.08576926826175,0.154620641640514,0.0425416094415015,0.15560993776202,0.0543634093039523,0.229675057527992,0.0652361107666291,0.045694607054825,0.0508914938887383,0.0830867471796655,0.0848004430553256,-0.0255273788186428,0.0359257550173289,0.00455567942285807
"6",2010-10-29,0.037489880739951,0.0589503124070897,0.0852743317752042,0.154604212359134,0.108378521148596,0.0507105332414788,0.0120717771891335,-0.010072888472294,-0.134622637675817,0.0283234599335466,0.0597932974092211,-0.0457213532074726,0.0182056511754858,-0.00263141743408636
"7",2010-11-30,0,0.033231488820069,-0.0481917819654737,-0.0992596153230365,-0.0292588560889456,0.059730627276336,-0.00147787837676047,-0.0061310507552089,-0.0446500081049458,-0.026393949210232,-0.0962763800649992,-0.0170375881447297,-0.0128288172959386,-0.0162846321660726
"8",2010-12-31,0.064712825744158,0.03601400450563,0.0997630262492935,0.0665822398969586,0.0741626330212844,0.0258878051596539,0.00254365401121421,0.125948956276676,0.198341175553257,0.00486261500383856,0.0230962460067031,-0.0376922449516171,0.0275458575133428,-0.00754848545215796
"9",2011-01-31,0.0230329514982121,0.0506543709027902,-0.00647020215870179,0.0107006823193912,-0.0273691546994079,-0.0592783121786566,0.0389141494313891,0.058856278271055,0.0288160851055368,-0.0342082561579231,0.0626596413925814,-0.0312958977912985,0.0163670283339472,0.000367981552103753
"10",2011-02-28,0.0341475395878669,0.040119203917492,-0.0364626741967756,0.0214878200115132,0.0030994727791591,0.0212879125458854,-0.0757417670503204,0.0382016756799994,0.0399768262260084,0.0365603345144687,0.0415592708147321,0.0163668537090186,0.0142530275764986,0.0107423223502158
"11",2011-03-31,0.000119985999243805,-0.013396237467929,-0.04580338874813,-0.0444013866107261,-0.0321384615697393,0.038712388935758,0.00833030141009675,-0.0127167855253613,-0.0688246346400145,-0.0362955693026924,0.0263136734596833,0.000292809166611222,0.000423976697061937,-0.00541907604538499
"12",2011-04-29,0.0285501889666867,0.00463776453599949,0.020659319205867,-0.0754828866718376,-0.0490397560992936,0.0834659509080555,0.0547645552741926,-0.00483887204089272,-0.0820453345737484,0.103637851517219,0.0761541727676547,0.0231217327869094,0.015849327165298,0.0247354230317877
"13",2011-05-31,-0.01127796434498,-0.0065908351482761,-0.0292060215951146,-0.0281068056871603,-0.0679307747626648,0.0044841043288335,0.010950370862253,-0.0537998969969931,-0.044118543710652,0.0322437873161477,-0.0169122916305823,0.0336557434157736,0.00133202441551313,0.0126149000721732
"14",2011-06-30,-0.0170137335757626,-0.03558542376552,0.0388211269258221,-0.0437388508131377,-0.0558176895943785,0.03889020355271,-0.038395048384189,-0.0546580251375646,-0.0687497707987159,-0.0115088851453001,-0.0539746984724101,-0.0235051525540694,-0.00572223043760026,-0.00800406351627241
"15",2011-07-29,-0.0202073417502807,0.151248507939238,0.052446302358206,0.175773454069625,0.0140270682066175,0.0844979042002083,-0.00812474136262867,-0.00591613610507582,-0.121095494609507,-0.0263515561187363,-0.0479312079595421,0.0431992485279243,0.00354233808915526,0.0240111911676701
"16",2011-08-31,-0.0565443915901835,-0.014575010892397,-0.0233396293045198,-0.109715437236508,-0.146547899240204,-0.0333097979916867,0.0162734513854166,-0.0741269305883935,-0.171455460615071,0.0243385959756179,-0.0458265472849092,0.0922831501669884,-0.0276606249541033,0.00339748202775809
"17",2011-09-30,-0.0719480667978817,-0.00916285559759346,-0.066445496950269,-0.0491008351599218,-0.206356091332994,0.00463543229566491,-0.0245516119923894,-0.220750095050354,-0.288906892292875,-0.0325925165549358,-0.0997923078436597,0.124039974287992,-0.0544714357157803,0.00350546331547243
"18",2011-10-31,0.103591353720185,0.0597048552172498,0.0675723437616598,0.140342597646532,0.147252549663002,-0.0126589909258005,0.0888080522848675,0.152042258105172,0.109762791493201,0.0109306176622669,0.0836595026931361,-0.0390447563631981,0.0815038567635884,0.0247863331266823
"19",2011-11-30,-0.00407197655092711,-0.0573997860303545,-0.0327260509351272,0.0113253395766937,-0.129629562537689,-0.104679033802036,0.0377141526440051,-0.11544834033407,-0.225575395339143,0.0143495227855869,0.0494915403885026,0.0196956565287964,-0.024568945864018,-0.0320757364967315
