"","date","AAPL","MSFT","GOOG","GS","AMZN","WMT","JPM","BAC","JNJ","BA","TLT","LQD"
"1",2007-11-07,-0.0290427469563853,-0.0247475621426242,-0.0120023469339297,-0.0410721771972616,-0.00263893220254211,-0.00816129662046137,-0.0433193440382945,-0.0506465517886561,-0.0108932094282451,-0.00473656986754024,0.00176536587627884,-0.000664473901794812
"2",2007-11-08,-0.0598900022878435,-0.0222044044493002,-0.0548224395148486,-0.0199946821036212,-0.0405635136476644,-0.00708175556988709,0.00872171253679205,0.00437701812963391,0.0105837498949536,-0.00631569073069575,-0.00176536587627895,0.00161396488541348
"3",2007-11-09,-0.0592829415390375,-0.0295040653963003,-0.0440043675750976,0.00659931834346009,-0.0577498165178182,-0.0166440372427422,-0.0070652415557383,0.0109744872591601,0.00878601412457598,-0.0217338719450247,0.00846713980543347,0.00444857916900361
"4",2007-11-12,-0.0727924142047052,-0.0104307066177465,-0.049236828380251,0.0158671361487158,-0.0242490425774366,0.00974296663959206,0.00188913621082748,0,0.0174951925552156,-0.0144333308783838,0.00360715409813002,-0.000376939348373525
"5",2007-11-13,0.100170250860253,0.035143076938109,0.0440725923469078,0.081921631885414,0.0364696923033047,0.0593742075727233,0.0608598282189047,0.0507585773557197,0.0149677015738022,0.00900516080766336,-0.00371701340004638,-0.00502113080424885
"6",2007-11-14,-0.0229129225164391,-0.015499490772758,-0.0289830281569483,0.00115804283751018,-0.0170490834723628,0.0116785211642183,0.00221759984123167,-0.0117391721653329,-0.00625893110431605,-0.00975909005650878,0.00109462426105519,-0.00428289720235746
"7",2007-11-15,-0.0109562166589955,-0.00502293855970717,-0.0189256768435514,-0.0273297727448881,-0.00844215809504903,-0.00668760012898293,-0.0365398327214103,-0.0367481349651336,-0.000149508967982519,-0.0157505905985088,0.00936376691348888,0.00380828231916676
"8",2007-11-16,0.0126403969684031,0.00972726947289107,0.00630109498772559,-0.00782728534814387,0.00958780140029133,0.00302597134363367,-0.0101597443016665,0.00655743807859251,0.0129244149048183,-0.0148904685747586,0.00140762490675533,9.51035348043177e-05
"9",2007-11-19,-0.0147730151931005,-0.00382075010156374,-0.0123544085655566,-0.0211316530371944,0.00735206768811684,-0.0189525227603693,-0.0407345859832037,-0.0355584817760873,-0.00236430875325229,-0.0192980695654831,0.00647096003187293,0.00766570220367977
"10",2007-11-20,0.0294494115355441,0.0180922884261572,0.0356128847502284,-0.0139721887490462,0.0151660362225267,0.000659251617282295,0.00626488708287497,-0.00116780137625731,0.000739560108144747,-0.00465567022712081,-0.00107536648463449,-0.00633669987167489
"11",2007-11-21,-0.00231235290583281,-0.0101729418809435,0.0183037798793273,-0.0373833315217432,-0.00786762717170302,-0.014166090907053,-0.0230845359300284,-0.0148401616151495,-0.00741959267608474,-0.00513490418964469,0.00579514011933507,0.00699614592741728
"12",2007-11-23,0.018118002079665,-0.00351206430559577,0.0242006216231051,0.0327746752497482,0.0207216047502318,0.0192082294583013,0.0307421154565216,0.0236850310124616,0.00232008133620516,0.0240759368449852,0.00299226599648078,-0.0050064311620753
"13",2007-11-26,0.00581271980091143,-0.033992337330133,-0.0159383583191473,-0.0426080660923391,-0.0015977020249068,-0.0154255470882921,-0.0361645284579144,-0.0298738892887771,0.00730008048630001,0.004346254903266,0.019545135342294,0.0164344823736587
"14",2007-11-27,0.0130704724510587,0.00272605584918054,0.011302278650122,0.0279499631293131,0.0514223537049524,0.01760965702305,0.0456542211573374,0.0249950684246221,0.00532933898481038,0.0198179336632617,-0.00956687377326612,-0.00860558783121626
"15",2007-11-28,0.03047890286576,0.0191734631823269,0.0273696395419485,0.0643979991319873,0.0535690864864449,0.0300907124362548,0.0373117885667185,0.0435198574060856,0.0091120635813044,0.0202875933669678,-0.00678335445986871,-0.00697670085440619
"16",2007-11-29,0.0223321971526186,-0.00326908154359381,0.00682378928205383,-0.0138972373685215,-0.0128171269022816,0.00654200447189265,-0.00707696219433836,-0.00491728653343905,0.000731261783392466,-0.00428251496589853,0.00857776692960978,0.00377754414589726
"17",2007-11-30,-0.0112958955123161,0.000297516263165753,-0.00575538704531667,0.0100219861839198,0.0156922256268178,0.00754422848465906,0.0441429883287486,0.0330574536136363,-0.00969622070768942,-0.00721387760746003,-0.0048617807979502,0.00488872623587251
"18",2007-12-03,-0.0186112983566675,-0.0204459333264059,-0.0166897516912808,0.00110199075299215,0.0038574577632591,-0.000626771464611779,-0.009028117713248,-0.0144108202243375,-0.000442703314784044,-0.00813770213857859,0.00790363316194416,0.000348960547790604
"19",2007-12-04,0.00529724630535047,-0.00456667885545766,0.00385153639256972,-0.0528043746709456,0.0377769919794915,0.00666256817606379,-0.0237248848442761,-0.0168557328055218,0.00339114001846116,-0.0198049800842949,-0.000105410355448656,0.000470589934744774
"20",2007-12-05,0.0311542226675639,0.0412490678691462,0.0207577364954094,0.0140262941153035,-0.0130066008537233,0.0146261059117348,0.0168446009092586,0.0259816478768867,0.00396629248013856,0.00785899528003232,-0.0119988377241461,-0.0037722966175049
"21",2007-12-06,0.0237058700410656,0.011645010227628,0.0236965985163943,0.0192851033157393,0.0108858811868977,0.00753790148167438,0.0287587435486124,0.0160110779828975,0.00131877165251493,0.0118370580629614,-0.00879815811415974,-0.00739569034278492
"22",2007-12-07,0.0226425451830695,-0.000579175684860767,-0.000545413895872593,-0.0209816584678658,0.0010608849031425,-0.00508728935825288,-0.0028175079544947,-0.0129205423586607,-0.00911927450618049,0.014924291421903,-0.0112717002253616,-0.00860283023033637
